3, 2, 2
7, 2, 3
11, 2, 4
19, 2, 5
23, 2, 5
27, 2, 5
31, 2, 7
43, 2, 7
47, 2, 7
59, 2, 9
67, 2, 8
71, 2, 9
79, 2, 9
83, 2, 8
103, 2, 11
107, 2, 9
127, 2, 11
131, 2, 11
139, 2, 11
151, 2, 11
163, 2, 11
167, 2, 11
179, 2, 12
191, 2, 11
199, 2, 11
211, 2, 13
223, 2, 13
227, 2, 13
239, 2, 12
243, 2, 14
251, 2, 12
263, 2, 13
271, 2, 12
283, 2, 14
307, 2, 13
311, 2, 13
331, 2, 13
343, 2, 13
347, 2, 13
359, 2, 17
367, 2, 13
379, 2, 15
383, 2, 15
419, 2, 15
431, 2, 17
439, 2, 15
443, 2, 14
463, 2, 15
467, 2, 15
479, 2, 15
487, 2, 16
491, 2, 17
499, 2, 15
503, 2, 17
523, 2, 17
547, 2, 15
563, 2, 15
571, 2, 16
587, 2, 15
599, 2, 17
607, 2, 17
619, 2, 15
631, 2, 17
643, 2, 17
647, 2, 17
659, 2, 16
683, 2, 17
691, 2, 17
719, 2, 17
727, 2, 17
739, 2, 17
743, 2, 17
751, 2, 17
787, 2, 17
811, 2, 17
823, 2, 19
827, 2, 17
839, 2, 17
859, 2, 17
863, 2, 17
883, 2, 17
887, 2, 17
907, 2, 18
911, 2, 19
919, 2, 19
947, 2, 17
967, 2, 18
971, 2, 17
983, 2, 19
991, 2, 19
1019, 2, 18
1031, 2, 19
1039, 2, 19
1051, 2, 19
1063, 2, 18
1087, 2, 19
1091, 2, 19
1103, 2, 19
1123, 2, 18
1151, 2, 23
1163, 2, 18
1171, 2, 18
1187, 2, 20
1223, 2, 19
1231, 2, 19
1259, 2, 18
1279, 2, 21
1283, 2, 20
1291, 2, 19
1303, 2, 19
1307, 2, 19
1319, 2, 21
1327, 2, 23
1331, 2, 19
1367, 2, 19
1399, 2, 19
1423, 2, 19
1427, 2, 19
1439, 2, 19
1447, 2, 19
1451, 2, 20
1459, 2, 19
1471, 2, 19
1483, 2, 19
1487, 2, 19
1499, 2, 20
1511, 2, 19
1523, 2, 21
1531, 2, 20
1543, 2, 21
1559, 2, 21
1567, 2, 19
1571, 2, 19
1579, 2, 20
1583, 2, 23
5, 4, 2
13, 4, 2
29, 4, 4
37, 4, 3
53, 4, 3
61, 4, 5
101, 4, 4
109, 4, 5
125, 4, 3
149, 4, 5
157, 4, 4
173, 4, 7
181, 4, 7
197, 4, 5
229, 4, 5
269, 4, 8
277, 4, 5
293, 4, 7
317, 4, 5
349, 4, 9
373, 4, 6
389, 4, 8
397, 4, 5
421, 4, 5
461, 4, 5
509, 4, 9
541, 4, 9
557, 4, 7
613, 4, 8
653, 4, 7
661, 4, 11
677, 4, 7
701, 4, 7
709, 4, 6
733, 4, 5
757, 4, 8
773, 4, 7
797, 4, 7
821, 4, 12
829, 4, 5
853, 4, 7
877, 4, 9
941, 4, 11
997, 4, 7
1013, 4, 7
1021, 4, 7
1061, 4, 7
1069, 4, 11
1093, 4, 11
1109, 4, 11
1117, 4, 9
1181, 4, 8
1213, 4, 7
1229, 4, 7
1237, 4, 8
1277, 4, 8
1301, 4, 11
1373, 4, 11
1381, 4, 8
1429, 4, 7
1453, 4, 8
1493, 4, 9
1549, 4, 7
1597, 4, 9
1613, 4, 9
1621, 4, 8
1637, 4, 8
1669, 4, 9
1693, 4, 12
1709, 4, 7
1733, 4, 11
1741, 4, 11
1789, 4, 9
1861, 4, 9
1877, 4, 12
1901, 4, 9
1933, 4, 11
1949, 4, 9
1973, 4, 8
1997, 4, 11
2029, 4, 11
2053, 4, 9
2069, 4, 11
2141, 4, 9
2197, 4, 11
2213, 4, 8
2221, 4, 12
2237, 4, 9
2269, 4, 10
2293, 4, 9
2309, 4, 8
2333, 4, 8
2341, 4, 9
2357, 4, 13
2381, 4, 8
2389, 4, 11
2437, 4, 13
2477, 4, 8
2549, 4, 12
2557, 4, 11
2621, 4, 11
2677, 4, 9
2693, 4, 9
2741, 4, 10
2749, 4, 8
2789, 4, 12
2797, 4, 8
2837, 4, 11
2861, 4, 9
2909, 4, 13
2917, 4, 12
2957, 4, 13
3037, 4, 9
3061, 4, 8
3109, 4, 9
3125, 4, 12
3181, 4, 11
3221, 4, 8
3229, 4, 9
3253, 4, 14
3301, 4, 12
3373, 4, 9
3389, 4, 11
3413, 4, 9
3461, 4, 9
3469, 4, 13
3517, 4, 8
3533, 4, 10
3541, 4, 12
